DEPTH,GR,PHIT
11600,77.079,0.2426
11600.5,77.58,0.2497
11601,78.661,0.2516
11601.5,78.519,0.2555
11602,79.726,0.2529
11602.5,79.562,0.251
11603,79.468,0.2484
11603.5,77.604,0.251
11604,79.167,0.2516
11604.5,78.85,0.2267
11605,78.227,0.2356
11605.5,75.293,0.2469
11606,76.628,0.2424
11606.5,75.079,0.2345
11607,78.369,0.2283
11607.5,77.631,0.2334
11608,80.189,0.2396
11608.5,76.886,0.2312
11609,76.196,0.2289
11609.5,75.833,0.2529
11610,79.081,0.2535
11610.5,80.999,0.249
11611,79.064,0.2542
11611.5,77.841,0.2216
11612,74.077,0.2227
11612.5,75.7,0.23
11613,75.906,0.2306
11613.5,78.295,0.2306
11614,78.237,0.2317
11614.5,75.609,0.2289
11615,75.585,0.2261
11615.5,74.669,0.225
11616,75.892,0.2334
11616.5,73.888,0.2407
11617,76.674,0.2401
11617.5,79.649,0.2283
11618,79.906,0.2239
11618.5,79.414,0.2529
11619,77.141,0.2535
11619.5,78.035,0.225
11620,77.076,0.2345
11620.5,77.024,0.2401
11621,75.602,0.2373
11621.5,74.334,0.2328
11622,74.939,0.234
11622.5,75.172,0.2474
11623,72.464,0.2615
11623.5,69.773,0.2716
11624,68.814,0.2693
11624.5,69.183,0.2643
11625,70.461,0.262
11625.5,70.253,0.2716
11626,68.851,0.2811
11626.5,69.348,0.2716
11627,68.745,0.2643
11627.5,67.429,0.2704
11628,65.445,0.2929
11628.5,64.793,0.3086
11629,69.503,0.3119
11629.5,69.944,0.2946
11630,72.949,0.28
11630.5,73.702,0.2738
11631,74.153,0.2822
11631.5,73.879,0.2783
11632,72.656,0.2772
11632.5,71.193,0.2811
11633,69.643,0.2873
11633.5,69.804,0.2906
11634,70.247,0.2749
11634.5,70.522,0.2581
11635,69.002,0.2502
11635.5,67.914,0.2491
11636,69.145,0.2351
11636.5,70.916,0.2177
11637,74.949,0.2143
11637.5,72.926,0.2188
11638,75.32,0.2205
11638.5,75.795,0.216
11639,77.54,0.2267
11639.5,74.358,0.2463
11640,72.095,0.2615
11640.5,72.018,0.2542
11641,72.9,0.2452
11641.5,71.853,0.2474
11642,72.92,0.2553
11642.5,74.366,0.2643
11643,75.265,0.2654
11643.5,72.536,0.2772
11644,68.019,0.2839
11644.5,64.972,0.294
11645,64.141,0.2985
11645.5,64.412,0.3063
11646,63.886,0.3148
11646.5,63.74,0.3153
11647,63.493,0.2929
11647.5,68.31,0.2654
11648,68.953,0.2497
11648.5,70.36,0.2699
11649,67.338,0.2822
11649.5,68.853,0.2738
11650,70.484,0.2502
11650.5,70.741,0.2485
11651,70.943,0.2609
11651.5,67.966,0.2704
11652,68.771,0.2699
11652.5,65.86,0.2704
11653,67.025,0.2822
11653.5,65.551,0.2895
11654,64.437,0.2957
11654.5,62.407,0.2901
11655,61.665,0.2951
11655.5,64.001,0.2957
11656,65.021,0.2946
11656.5,66.321,0.2783
11657,67.063,0.2648
11657.5,67.404,0.2615
11658,68.442,0.2659
11658.5,67.7,0.271
11659,67.237,0.2889
11659.5,63.639,0.3108
11660,62.226,0.3327
11660.5,60.227,0.3243
11661,62.229,0.2923
11661.5,65.871,0.2558
11662,70.127,0.2345
11662.5,73.282,0.239
11663,71.492,0.2502
11663.5,68.707,0.2598
11664,65.552,0.2603
11664.5,67.342,0.2553
11665,69.207,0.2525
11665.5,70.569,0.2575
11666,70.073,0.2626
11666.5,69.08,0.2721
11667,66.976,0.285
11667.5,65.294,0.2962
11668,62.651,0.2912
11668.5,64.683,0.2732
11669,64.619,0.2603
11669.5,67.231,0.2547
11670,67.681,0.2575
11670.5,68.178,0.2575
11671,70.493,0.2648
11671.5,70.116,0.2682
11672,71.786,0.2693
11672.5,69.992,0.2665
11673,69.98,0.2671
11673.5,69.682,0.2654
11674,70.425,0.2699
11674.5,70.796,0.2659
